City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,callao,-12.0667,-77.15,22.46,78,35,3.63,PE,1722788334
84,georgetown,5.4112,100.3354,28.96,77,20,2.57,MY,1722788074
85,montepuez,-13.1256,38.9997,23.59,32,19,1.8,MZ,1722788337
86,acarau,-2.8856,-40.12,31.73,40,0,7.57,BR,1722788338
87,bhalki,18.0333,77.2167,24.05,84,100,4.9,IN,1722788339
88,ondjiva,-17.0667,15.7333,29.35,8,0,2.31,AO,1722788340
89,nemuro,43.3236,145.575,15.82,100,100,2.99,JP,1722788053
90,kittila,67.6647,24.8936,22.56,53,0,2.06,FI,1722788342
91,la'ie,21.6477,-157.9253,24.5,82,50,1.79,US,1722788344
92,lata,40.1629,-8.3327,28.6,50,0,4.55,PT,1722788305
93,myeik,12.4333,98.6,26.0,87,100,1.53,MM,1722788346
94,panama city beach,30.1766,-85.8055,32.83,66,40,4.12,US,1722788169
95,egilsstadir,65.2653,-14.3948,11.95,71,75,7.2,IS,1722788348
96,at tall al kabir,30.5445,31.7853,32.57,37,5,7.97,EG,1722788349
97,brisas de zicatela,15.8369,-97.0419,29.37,62,48,2.03,MX,1722788351
98,weno,7.4515,151.8468,27.97,89,75,2.06,FM,1722788352
99,shaowu,27.3409,117.4831,23.32,95,100,0.44,CN,1722788353
100,hilo,19.7297,-155.09,22.57,96,100,2.06,US,1722788354
101,hadibu,12.65,54.0333,26.25,75,15,8.47,YE,1722788355
102,puerto armuelles,8.2833,-82.8667,29.99,83,90,1.34,PA,1722788357
103,beledweyne,4.7358,45.2036,29.69,46,100,11.31,SO,1722788358
104,hasaki,35.7333,140.8333,24.22,86,76,0.5,JP,1722788359
105,arraial do cabo,-22.9661,-42.0278,27.98,65,0,8.75,BR,1722788361
106,papatowai,-46.5619,169.4708,6.02,79,100,3.63,NZ,1722788363
107,new norfolk,-42.7826,147.0587,8.29,89,96,1.47,AU,1722788364
108,opuwo,-18.0607,13.84,28.7,18,0,6.08,NA,1722788366
109,santiago del torno,-17.9833,-63.3833,24.1,43,79,4.37,BO,1722788368
110,romsey,50.9891,-1.4999,22.25,60,40,5.14,GB,1722788369
111,nyangao,-10.3333,39.2833,22.23,73,4,2.86,TZ,1722788370
112,bredasdorp,-34.5322,20.0403,8.35,68,52,3.72,ZA,1722788371
113,minas de marcona,-15.2119,-75.1103,15.23,61,24,5.75,PE,1722788372
114,vinales,22.6164,-83.7078,26.78,85,100,5.26,CU,1722788374
115,atafu village,-8.5421,-172.5159,27.95,80,17,6.8,TK,1722788375
116,badger,64.8,-147.5333,14.28,84,0,2.57,US,1722788376
117,kaka,37.3482,59.6143,34.06,15,3,2.01,TM,1722788377
118,devnya,43.2222,27.5694,25.99,21,6,5.61,BG,1722788379
119,lebu,-37.6167,-73.65,11.48,81,100,9.08,CL,1722788380
120,bonthe,7.5264,-12.505,26.33,79,94,5.08,SL,1722788381
121,wailua homesteads,22.0669,-159.378,25.44,90,100,5.14,US,1722788383
122,chernyshevskiy,63.0128,112.4714,11.62,64,3,1.34,RU,1722788384
123,udachny,66.4167,112.4,17.4,48,77,3.67,RU,1722788385
124,nishiwaki,34.9833,134.9667,28.66,94,19,1.98,JP,1722788386
125,colon,9.3592,-79.9014,32.83,71,30,1.93,PA,1722788289
126,chambas,22.1928,-78.9136,32.11,57,95,4.36,CU,1722788389
127,khandyga,62.6667,135.6,10.55,66,69,1.62,RU,1722788390
128,aasiaat,68.7098,-52.8699,4.53,87,69,1.98,GL,1722788391
129,ribeira brava,32.65,-17.0667,28.34,68,5,3.48,PT,1722788392
130,berezovo,63.9381,65.0419,18.03,86,39,4.16,RU,1722788393
131,polyarnyy,69.1989,33.4478,13.85,64,1,6.32,RU,1722788395
132,tangalle,6.024,80.7911,26.75,82,9,4.84,LK,1722788396
133,inhambane,-23.865,35.3833,22.99,83,0,5.66,MZ,1722788397
134,whitehorse,60.7161,-135.0538,13.94,71,20,2.06,CA,1722788333
135,leiyang,26.4024,112.8591,28.49,77,8,1.94,CN,1722788399
136,korla,41.7597,86.1469,32.16,24,100,5.92,CN,1722788401
137,hamilton,39.1834,-84.5333,31.88,62,0,1.54,US,1722788322
138,halmeu,47.9667,23.0167,25.47,40,5,1.73,RO,1722788397
139,dawei,14.0833,98.2,25.41,89,100,1.47,MM,1722788404
140,page,36.9147,-111.4558,30.88,34,0,3.09,US,1722788405
141,mossel bay,-34.1831,22.146,9.96,66,95,8.63,ZA,1722788407
142,filadelfia,39.9523,-75.1638,27.56,85,100,4.12,US,1722788242
143,sena madureira,-9.0656,-68.6569,37.44,32,0,0.97,BR,1722788409
144,baykal'sk,51.5058,104.1469,17.24,86,77,4.38,RU,1722788410
145,tarko-sale,64.9225,77.785,18.8,84,97,6.54,RU,1722788412
146,el bolson,-41.9667,-71.5167,6.19,93,100,1.43,AR,1722788413
147,uturoa,-16.7333,-151.4333,24.82,76,99,8.41,PF,1722788414
148,jacksonville,30.3322,-81.6556,30.61,81,100,5.66,US,1722787801
149,naze,28.3667,129.4833,28.51,86,16,5.11,JP,1722788416
150,charlottetown,46.2352,-63.1267,28.09,80,75,3.6,CA,1722788034
151,ust'-ilimsk,58.0006,102.6619,12.6,83,9,1.03,RU,1722788419
152,fort mcmurray,56.7268,-111.381,16.77,77,0,1.54,CA,1722788421
153,kokopo,-4.352,152.2633,24.55,88,97,3.52,PG,1722788422
154,susuman,62.7833,148.1667,8.27,64,66,1.54,RU,1722788424
155,gadzhiyevo,69.2551,33.3362,13.61,67,2,6.35,RU,1722788425
156,fort bragg,35.139,-79.006,30.38,68,100,5.14,US,1722788426
157,rio pomba,-21.2747,-43.1792,27.55,44,51,3.86,BR,1722788427
158,hermanus,-34.4187,19.2345,10.45,62,63,5.54,ZA,1722788428
159,klyuchi,52.2667,79.1667,20.78,59,58,7.16,RU,1722788429
160,la passe,45.5549,-0.8967,28.13,66,28,4.72,FR,1722788431
161,harstad,68.799,16.5293,23.66,62,18,1.34,NO,1722788432
162,sitka,57.0531,-135.33,13.94,82,40,0.0,US,1722788433
163,ribeira grande,38.5167,-28.7,27.22,83,40,5.14,PT,1722788434
164,cambria,35.5641,-121.0808,20.41,65,0,3.22,US,1722788435
165,vilyuysk,63.7553,121.6247,13.99,57,51,2.08,RU,1722788437
166,ashmyany,54.425,25.9378,23.0,69,75,3.11,BY,1722788438
167,kalispell,48.1958,-114.3129,23.15,77,75,3.6,US,1722788439
168,lompoc,34.6391,-120.4579,22.18,90,100,4.63,US,1722788243
169,balabac,7.9868,117.0645,26.79,80,30,1.77,PH,1722788441
170,chenzhou,25.8,113.0333,27.93,83,86,1.26,CN,1722788442
171,kijang,35.2442,129.2139,26.85,87,26,3.03,KR,1722788444
172,luderitz,-26.6481,15.1594,14.57,74,95,4.45,NA,1722788445
173,popondetta,-8.7537,148.2534,23.13,92,87,1.14,PG,1722788446
174,aldinga beach,-35.2793,138.4604,11.81,84,100,2.43,AU,1722788447
175,punta del este,-34.9667,-54.95,16.09,59,0,1.03,UY,1722788448
